ID,Category,Vendor,Model,Serial,Description,Modules,ETAG,Last Cal Date,Next Cal Date,IP Address,Purchase Value,Year of Purchase,check,Location,Comments,uuid,fff,bbb
378,ANALYZER,OTHER,DSOX3034T,MY58262834,4 CHANNEL 350MHz OSCILLOSCOPE,,,31.12.2018,31.12.2019,,"12,000",2016,1,bench 17,in use,,,
379,ANALYZER,OTHER,DSOX3034T,MY58262830,4 CHANNEL 350MHz OSCILLOSCOPE,,,31.12.2018,31.12.2019,,"12,000",2016,1,bench 17,in use,,,
380,ANALYZER,OTHER,DSA-X 93304Q,MY54410106,Infiniium Oscilloscope: 33 GHz,,,,,10.12.215.216,,,0,bench 17,Waterfalled to PG ISM:1304996712,,,
381,ANALYZER,OTHER,DSA-X 93304Q,MY54410107, Infiniium Oscilloscope: 63 GHz,,,,,10.12.215.216,"165,000",2016,1,bench 17,in use,,,
382,ANALYZER,OTHER,FSWP50,101334,Phase Noise Analyzer 50GHz,,E625046,11.7.2019,11.7.2020,,"135,000",2020,1,bench 17,in use,,,
383,ANALYZER,OTHER,2420,1369095,Precision Source/Measure Unit,,E512453,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
384,ANALYZER,OTHER,2420,1369106,Precision Source/Measure Unit,,E512454,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
385,ANALYZER,OTHER,2420,729525,Precision Source/Measure Unit,,E512460,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
386,ANALYZER,OTHER,2420,729534,Precision Source/Measure Unit,,E512461,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
387,ANALYZER,OTHER,TGF4242,517584,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
388,ANALYZER,OTHER,TGF4242,517585,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
389,ANALYZER,OTHER,TGF4242,517587,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
390,ANALYZER,OTHER,TGF4242,517588,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
391,ANALYZER,OTHER,TGF4242,517589,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
392,ANALYZER,OTHER,TGF4242,515637,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
393,ANALYZER,OTHER,TGF4242,515639,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
394,ANALYZER,OTHER,TGF4242,513143,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
395,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
396,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
397,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
398,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
399,ANALYZER,OTHER,MFG-2260MRA,GES912214,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
400,ANALYZER,OTHER,MFG-2260MRA,GES912209,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
401,ANALYZER,OTHER,MFG-2260MRA,,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
402,ANALYZER,OTHER,MFG-2260MRA,,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
403,ANALYZER,OTHER,MFG-2260MRA,,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
404,ANALYZER,OTHER,E8527D,MY58460294,67GHz PSG Analog Signal Generator,,E625047,,,1,"95,000",2019,1,bench 17,in use,,,
405,ANALYZER,OTHER,DAC10002,113,112G PAM4 AWG ,,E625048,,,1,"145,000",2019,1,bench 17,in use 200001597291,,,
406,ANALYZER,OTHER,MU196040B,6262081217,116G PAM4  Error detector Module,,E625049,,,,"150,000",2020,1,bench 17,in use 200001650235 PO:3001880353,,,
407,ANALYZER,OTHER,J9071,AJ305,Noisecom Jitter Generator ,,E625050,,,,"135,000",2020,1,bench 17,in use 2000016,,,
408,ANALYZER,OTHER,E8527D,MY60020317,PSG analog signal generator (67GHz),,E625051,,,,"100,000",2020,1,bench 17,in use 2000016,,,
409,ANALYZER,OTHER,N1000A,MY59280370,85GHz Sampling scope ,N1060A,E625052,,,,"235,000",2020,1,bench 17,in use 2000016 - Warenty until 1/2024,,,
410,ANALYZER,OTHER,M8199A,DE60C00120,ARBITRARY WAVE GEN112GBAUD M8199A,,E625053,,,,"383,000",2021,1,bench 17,in use 200001695381 - Warenty until 2/2024,,,
436,ANALYZER,OTHER,N1000A,MY61340115,85GHz Sampling scope ,N1060A,E625055,,,,"235,000",2021,1,bench 17,in use 2000016               PO:3002094999 - Warenty until 3/2025,,,
411,ANALYZER,OTHER,CLE-1200,12521163,67GHz Varilible ISI ,,E625056,,,,"28,000",2022,1,bench 17,in use                                PO:3002158997,,,
437,ANALYZER,OTHER,UXR1104A,MY59450111,INFINIIUM UXR REAL-TIME SCOPE UXR1104A,,E625054,,,,"1,300,000",2021,1,bench 17,in use 200001695808 - Warenty until 3/2024,,,
412,ANALYZER,OTHER,CLE-1200,12321163,67GHz Varilible ISI ,,E625057,,,,"28,000",2022,1,bench 17,in use                                PO:3002158997,,,
413,ANALYZER,OTHER,CLE-1200,12421163,67GHz Varilible ISI ,,E625058,,,,"28,000",2022,1,bench 17,in use                                PO:3002158997,,,
414,ANALYZER,OTHER,FSWP50,,Phase Noise Analyzer 50GHz,,E625059,10.3.2022,,,"138,000",2022,1,bench 17,in use                               PO:3002157615,,,
415,ANALYZER,OTHER,L8990M-0G6,US61040001,70GHz 0G6 Custom Modular Switch Matrix ,,E625060,,,,"34,000",2021,1,bench 17,in use,,,
416,ANALYZER,OTHER,L8990M-0G6,US61040002,70GHz 0G6 Custom Modular Switch Matrix ,,E625061,,,,"34,000",2021,1,bench 17,in use,,,
417,ANALYZER,OTHER,L8990M-0G6,US61040003,70GHz 0G6 Custom Modular Switch Matrix ,,E625062,,,,"34,000",2021,1,bench 17,in use,,,
418,ANALYZER,OTHER,L8990M-0G6,US61040005,70GHz 0G6 Custom Modular Switch Matrix ,,E625063,,,,"34,000",2021,1,bench 17,in use,,,
419,ANALYZER,OTHER,L8990M-0G6,US61040006,70GHz 0G6 Custom Modular Switch Matrix ,,E625064,,,,"34,000",2021,1,bench 17,in use,,,
420,ANALYZER,OTHER,UXR0594AP,MY62120101,INFINIIUM UXR REAL-TIME SCOPE UXR0594AP (70GHz),,E625065,,,1,"585,000",2022,1,bench 17,in use - Warenty until 5/2025,,,
421,ANALYZER,OTHER,E5061B,MY49811997, 5Hz-3GHz ENA NETWORK ANALYZER,,E625066,,,1,40000,2022,1,bench 17,in use  - ,,,
422,ANALYZER,OTHER,MG3697C,221801, 70GHz Analog Signal Generator,,E625067,,,1,"76,000",2022,1,bench 17,in use PO:3002159447,,,
423,ANALYZER,OTHER,J9082,AK848,Noisecome J9082 Noise Generator,,E625068,,,1,"145,000",2022,1,bench 17,in use PO:3002174085,,,
424,ANALYZER,OTHER,J9082,AK849,Noisecome J9082 Noise Generator,,E625069,,,,"145,000",2022,1,bench 17,in use PO:3002174085,,,
425,ANALYZER,OTHER,M8050A,MY62800202,M8050A High-Performance BERT 120 Gbaud,M8042A,E625070,,,,"517,000",2022,1,bench 17,in use - M8042A MY62800202 PO:3002200922 Warenty until 9/2025,,,
426,ANALYZER,OTHER,S-4-8200,53060,Test chamber ,,E625071,,,,"34,000",2022,1,bench 17,in use,,,
427,ANALYZER,OTHER,K87057-001,23021202,Samson Thermal controler ,,E625072,,,,16000,2023,1,bench 17,in use,,,
428,ANALYZER,OTHER,K87057-001,23021203,Samson Thermal controler ,,E625073,,,,"16,000",2023,1,bench 17,in use,,,
429,ANALYZER,OTHER,CLE-1200,16622129,67GHz Varilible ISI ,,E625074,,,,"30,000",2024,1,bench 17,in use                                PO:3002281302,,,
430,ANALYZER,OTHER,CLE-1200,16722129,67GHz Varilible ISI ,,E625075,,,,"30,000",2024,1,bench 17,in use                                PO:3002281302,,,
431,ANALYZER,OTHER,BIG SMARK 200F,LS0015665,Fiber marking laser,,E625076,,,,"70,000",2022,1,bench 17,in use     Asset: 200001782295-0000                 PO:3002199207,,,
432,ANALYZER,OTHER,TS-600,SCP22PRSP139-1,Pico Probing station,,E625077,,,,"186,000",2023,1,bench 17,in use     Asset: -0000                 PO:3002287519,,,
433,ANALYZER,OTHER,SMA100B,,67GHz Sine Generetor,,E6,,,,"110,000",2023,1,bench 17,in use     Asset: -0000                 PO:3002289229,,,
434,ANALYZER,OTHER,N5224B,, 110Ghz PNA NETWORK ANALYZER,N5292A,E6,,,1,"510,000",2023,1,bench 17,in use     Asset: -0000                 PO:300,,,
435,ANALYZER,OTHER,M8040A,TW58110131,M8040A High-Performance BERT 64 Gbaud,M8045A,e6,,,,"450,000",2021,1,bench 17,in use ,,,
